seq_office,office,seq_services,office_name,type,services
7,pahinungod,5,Ugnayan Ng Pahinungod,Internal (For UP Cebu Faculty and Staff),Processing of Teachers Professional Development Training Program Application
8,oil,1,Office of International Linkages,Internal (For UP Cebu Faculty and Staff),Facilitation of requests for MOAs and MOUs
8,oil,2,Office of International Linkages,Internal (For UP Cebu Faculty and Staff),Facilitation of applications for mobility for international exchange student programs
8,oil,3,Office of International Linkages,Internal (For UP Cebu Faculty and Staff),Facilitation of applications for travel grant for graduate students
9,ovcaa,1,Office to the Vice Chancellor for Academic Affairs,"External (For Students, UP Cebu Alumni, General Public)","Approval of students’ requests for readmission due to LOA, PDQ, Delinquent Status, and extension of Waiver of MRR (during the University Admissions Committee meeting"
9,ovcaa,2,Office to the Vice Chancellor for Academic Affairs,"External (For Students, UP Cebu Alumni, General Public)","Endorsement of students’ requests for extension of enrollment, and applications for student loan (via the Document Routing System)."
9,ovcaa,3,Office to the Vice Chancellor for Academic Affairs,"External (For Students, UP Cebu Alumni, General Public)","Endorsement of students’ requests for Alternative Class Learning Experience (ACLE),
and other activities (via the Document Routing System)."
9,ovcaa,4,Office to the Vice Chancellor for Academic Affairs,"External (For Students, UP Cebu Alumni, General Public)","Endorsement of requests to hold student organizations’ activities and off-campus
activities (via the Document Routing System)."
9,ovcaa,5,Office to the Vice Chancellor for Academic Affairs,"External (For Students, UP Cebu Alumni, General Public)",Processing of payment to Suppliers through BULSA.
9,ovcaa,6,Office to the Vice Chancellor for Academic Affairs,"External (For Students, UP Cebu Alumni, General Public)",Dialogue or consultation (individual/group) with the VCAA
9,ovcaa,7,Office to the Vice Chancellor for Academic Affairs,Internal (For UP Cebu Faculty and Staff),Endorsement of requests of the colleges related to faculty hiring/renewal and tenure (during the APFC meetings).
9,ovcaa,8,Office to the Vice Chancellor for Academic Affairs,Internal (For UP Cebu Faculty and Staff),"Endorsement of requests for fellowships, applications for leaves and travels of the Faculty and REPS (during the APFC meetings/via the Document Routing System)."
9,ovcaa,9,Office to the Vice Chancellor for Academic Affairs,Internal (For UP Cebu Faculty and Staff),Endorsement of various requests from HRDO and offices under the OVCAA through PUSO/Adobe sign/Airslate/BULSA.
9,ovcaa,10,Office to the Vice Chancellor for Academic Affairs,Internal (For UP Cebu Faculty and Staff),Endorsement of Research Contracts (printed copies).
9,ovcaa,11,Office to the Vice Chancellor for Academic Affairs,Internal (For UP Cebu Faculty and Staff),"Endorsement of faculty’s application for the UP System Research Dissemination Grant, International Publication Award, etc. (via email/Document Routing System)."
9,ovcaa,12,Office to the Vice Chancellor for Academic Affairs,Internal (For UP Cebu Faculty and Staff),Endorsement of the UP Forms 67B & 67C for processing of faculty overload honoraria every end of the semester/trimester and Midyear Term (printed copies).
9,ovcaa,13,Office to the Vice Chancellor for Academic Affairs,Internal (For UP Cebu Faculty and Staff),Endorsement of requests for collaborations and partnerships with UP Cebu (printed copies).
9,ovcaa,14,Office to the Vice Chancellor for Academic Affairs,Internal (For UP Cebu Faculty and Staff),Endorsement of API Proposals and requests for realignment of the approved Line-Item Budget for API activities (printed and e-copies).
9,ovcaa,15,Office to the Vice Chancellor for Academic Affairs,Internal (For UP Cebu Faculty and Staff),"Processing of travel reimbursements for the Chancellor and VCAA, Professional Service Fees for the Resource
Persons through BULSA."
9,ovcaa,16,Office to the Vice Chancellor for Academic Affairs,Internal (For UP Cebu Faculty and Staff),Submission of data/reports (through email/Document Routing System).
9,ovcaa,17,Office to the Vice Chancellor for Academic Affairs,Internal (For UP Cebu Faculty and Staff),Generation of Student Evaluation of Teaching (SET) reports through AMIS.
9,ovcaa,18,Office to the Vice Chancellor for Academic Affairs,Internal (For UP Cebu Faculty and Staff),Signing of Checks
10,cvsc,1,Central Visayas Studies Center,"External (For Students, UP Cebu Alumni, General Public)",Overseas inter-government communications related to training and workshops and other research-related data requests
10,cvsc,2,Central Visayas Studies Center,Internal (For UP Cebu Faculty and Staff),Facilitate multi-disciplinary research on issues that concern the Central Visayas
10,cvsc,3,Central Visayas Studies Center,Internal (For UP Cebu Faculty and Staff),Facilitate UP System Enhanced Creative Works and Research Grant
10,cvsc,4,Central Visayas Studies Center,Internal (For UP Cebu Faculty and Staff),Facilitate and endorse UP System Research Dissemination Grant
10,cvsc,5,Central Visayas Studies Center,Internal (For UP Cebu Faculty and Staff),Facilitate and endorse the UP System International Publication Award
10,cvsc,6,Central Visayas Studies Center,Internal (For UP Cebu Faculty and Staff),Facilitate UP Cebu Creative Work and Research Grant (UPC CWRG) application
10,cvsc,7,Central Visayas Studies Center,"External (For Students, UP Cebu Alumni, General Public)","Disseminate information and communication pertaining to research sent by government agencies, NGOs, or private organizations"
10,cvsc,8,Central Visayas Studies Center,Internal (For UP Cebu Faculty and Staff),Facilitate and endorse UP Cebu Research Dissemination Grant
10,cvsc,9,Central Visayas Studies Center,Internal (For UP Cebu Faculty and Staff),Provide answers to inquiries on research and research-related matters
10,cvsc,10,Central Visayas Studies Center,Internal (For UP Cebu Faculty and Staff),"Assess, verify, and post reported publications / creative work output"
10,cvsc,11,Central Visayas Studies Center,Internal (For UP Cebu Faculty and Staff),Post reported research and creative work presentation
10,cvsc,12,Central Visayas Studies Center,Internal (For UP Cebu Faculty and Staff),Propose and conduct seminar-workshops (including API Seminar-Workshops) and forums on research and publication matters and different issues in Central Visayas and the nation
11,gad,1,Gender and Development,"External (For Students, UP Cebu Alumni, General Public)",Provide expertise for Gender Training and Other Gender-Related Activities
11,gad,2,Gender and Development,"External (For Students, UP Cebu Alumni, General Public)",Extend Technical Support to SIDLAK Gender Resource Center Region 7 and its Partners
11,gad,3,Gender and Development,"External (For Students, UP Cebu Alumni, General Public)",Use of UP Cebu Infrastructure and/or Facilities for GAD Mainstreaming Activities
11,gad,4,Gender and Development,Internal (For UP Cebu Faculty and Staff),Submission of annual GAD Plan and Budget/ Accomplishment reports to VCAA/ OC/ COA/ UP CWGS
11,gad,5,Gender and Development,Internal (For UP Cebu Faculty and Staff),Facilitate Gender Training and Other Gender-Related Activities for UP Cebu Constituents
11,gad,6,Gender and Development,Internal (For UP Cebu Faculty and Staff),"Facilitate any logistical support to UP Cebu Faculty, REPS, & Administrative Staff for GAD-related activities"
11,gad,7,Gender and Development,Internal (For UP Cebu Faculty and Staff),Use of UP Cebu Infrastructure and/or Facilities for GAD Mainstreaming Activities
12,nstp,1,National Service Training Program,"External (For Students, UP Cebu Alumni, General Public)","Honorarium of Resource Speaker/s for Plenary Sessions, Training, Other Services"
12,nstp,2,National Service Training Program,"External (For Students, UP Cebu Alumni, General Public)",Requesting of data from barangays
12,nstp,3,National Service Training Program,Internal (For UP Cebu Faculty and Staff),"Basic requests regarding lecturers, equipment, venue"
12,nstp,4,National Service Training Program,Internal (For UP Cebu Faculty and Staff),Processing of salary and honorarium
12,nstp,5,National Service Training Program,Internal (For UP Cebu Faculty and Staff),Processing of change in matriculation
13,osa,1,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Counselling and psychotherapy
13,osa,2,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Psychological Testing
13,osa,3,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Career Guidance Service
13,osa,4,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Student Inventory Service for Undergraduate & Graduate Students
13,osa,5,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Information Services
13,osa,6,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Job Fair for Partner Companies
13,osa,7,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Request for Certifications
13,osa,8,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Request for Clearance (Transferees and Graduates)
13,osa,9,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Request for Clearance (Readmission and Leave of Absence)
13,osa,10,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Student Learning Assistance System (SLAS) Online Application
13,osa,11,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Student Learning Assistance System (SLAS) Online Application Appeals
13,osa,12,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Request for Transfer of Campus (SLAS Online Application)
13,osa,13,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Release of Stipend for FDS Grantees
13,osa,14,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Scholarship Application for Students
13,osa,15,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Renewal of Scholarship for Students
13,osa,16,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Release of Allowances for Scholars
13,osa,17,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Application for Kadaganan Fund
13,osa,18,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Donation to the Kadaganan Fund
13,osa,19,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Student Assistant (SA) Application for Requesting Offices
13,osa,20,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Student Assistant (SA) Application for Students
13,osa,21,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Release of Student Assistant (SA) Salary
13,osa,22,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Application for Recognition & Renewal of Student Organizations (SO)
13,osa,23,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Request to Hold Student Organization (SO) Activities inside UP Campus
13,osa,24,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Request to Hold Student Organization (SO) Activities outside UP Campus
13,osa,25,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)","Request for Posting of Tarps, Posters, or Statements inside the Campus"
13,osa,26,Office of Student Affairs,"External (For Students, UP Cebu Alumni, General Public)",Dormitory Application
13,osa,27,Office of Student Affairs,Internal (For UP Cebu Faculty and Staff),Wellness program
13,osa,28,Office of Student Affairs,Internal (For UP Cebu Faculty and Staff),Counselling and psychotherapy
14,our,1,Office of the University Registrar,"External (For Students, UP Cebu Alumni, General Public)","Admission - new first year, undergraduate"
14,our,2,Office of the University Registrar,"External (For Students, UP Cebu Alumni, General Public)","Admission - new first year, graduate"
14,our,3,Office of the University Registrar,"External (For Students, UP Cebu Alumni, General Public)",Admission - transferee / VAAS / AASS (with college units)
14,our,4,Office of the University Registrar,"External (For Students, UP Cebu Alumni, General Public)","Cross-registration and special students, incoming"
14,our,5,Office of the University Registrar,"External (For Students, UP Cebu Alumni, General Public)","Cross-registration and special students, out-going"
14,our,6,Office of the University Registrar,"External (For Students, UP Cebu Alumni, General Public)","Issuance of UP ID, student"
14,our,7,Office of the University Registrar,"External (For Students, UP Cebu Alumni, General Public)",Paperless University clearance for students
14,our,8,Office of the University Registrar,"External (For Students, UP Cebu Alumni, General Public)",Request for official transcript of records (OTR)
14,our,9,Office of the University Registrar,"External (For Students, UP Cebu Alumni, General Public)",Request for certifications
14,our,10,Office of the University Registrar,"External (For Students, UP Cebu Alumni, General Public)",Issuance of Diploma
14,our,11,Office of the University Registrar,"External (For Students, UP Cebu Alumni, General Public)",Verification of student records (domestic and international)
14,our,12,Office of the University Registrar,"External (For Students, UP Cebu Alumni, General Public)",Authentication of student records
14,our,13,Office of the University Registrar,"External (For Students, UP Cebu Alumni, General Public)",Certificate of Authentication and Verification (CAV)
14,our,14,Office of the University Registrar,"External (For Students, UP Cebu Alumni, General Public)",CHED Billing Report
15,tlrc,1,Teaching and Learning Resource Center,"External (For Students, UP Cebu Alumni, General Public)",Equipment and Materials Borrowing Service
15,tlrc,2,Teaching and Learning Resource Center,"External (For Students, UP Cebu Alumni, General Public)",Peer Tutorials
15,tlrc,3,Teaching and Learning Resource Center,"External (For Students, UP Cebu Alumni, General Public)","Self-Service Printing, Photocopying, and Scanning"
15,tlrc,4,Teaching and Learning Resource Center,"External (For Students, UP Cebu Alumni, General Public)",University Virtual Education Commons (UVEC) Assistance
15,tlrc,5,Teaching and Learning Resource Center,"External (For Students, UP Cebu Alumni, General Public)",Use of Desktop Computers
15,tlrc,6,Teaching and Learning Resource Center,"External (For Students, UP Cebu Alumni, General Public)",Use of the Interactive Learning Center (ILC)
15,tlrc,7,Teaching and Learning Resource Center,"External (For Students, UP Cebu Alumni, General Public)",Use of the TLRC Discussion Area
15,tlrc,8,Teaching and Learning Resource Center,Internal (For UP Cebu Faculty and Staff),Assistance with multimedia presentations
15,tlrc,9,Teaching and Learning Resource Center,Internal (For UP Cebu Faculty and Staff),Educator Support Services
15,tlrc,10,Teaching and Learning Resource Center,Internal (For UP Cebu Faculty and Staff),Equipment and Materials Borrowing Service
15,tlrc,11,Teaching and Learning Resource Center,Internal (For UP Cebu Faculty and Staff),Event Support Services
15,tlrc,12,Teaching and Learning Resource Center,Internal (For UP Cebu Faculty and Staff),"Printing, Photocopying, and Scanning"
15,tlrc,13,Teaching and Learning Resource Center,Internal (For UP Cebu Faculty and Staff),Use of desktop computers
15,tlrc,14,Teaching and Learning Resource Center,Internal (For UP Cebu Faculty and Staff),Use of the Interactive Learning Center (ILC)
15,tlrc,15,Teaching and Learning Resource Center,Internal (For UP Cebu Faculty and Staff),Use of the TLRC Discussion Area
16,library,1,University Library,"External (For Students, UP Cebu Alumni, General Public)",Registration for library access (non-UP researchers)
16,library,2,University Library,"External (For Students, UP Cebu Alumni, General Public)",Checking-out (borrowing) of library books
16,library,3,University Library,"External (For Students, UP Cebu Alumni, General Public)",Checking-in (returning) of library books
16,library,4,University Library,"External (For Students, UP Cebu Alumni, General Public)",Renewing of books borrowed or checked-out
16,library,5,University Library,"External (For Students, UP Cebu Alumni, General Public)","Requests for Filipiniana, reserve books, and Theses"
16,library,6,University Library,"External (For Students, UP Cebu Alumni, General Public)",Request for use of Computers to access the internet
16,library,7,University Library,"External (For Students, UP Cebu Alumni, General Public)",Request for use of computers to access UP System Subscribed Library Databases
16,library,8,University Library,"External (For Students, UP Cebu Alumni, General Public)",Document delivery service
16,library,9,University Library,"External (For Students, UP Cebu Alumni, General Public)",Request for Information Access and Reference Service
16,library,10,University Library,"External (For Students, UP Cebu Alumni, General Public)",Borrowing of periodicals for in-house use
16,library,11,University Library,"External (For Students, UP Cebu Alumni, General Public)",Payment of Fines
16,library,12,University Library,"External (For Students, UP Cebu Alumni, General Public)","Request for Turnitin Account, Similarity Index report, and AI report"
16,library,13,University Library,"External (For Students, UP Cebu Alumni, General Public)",Payment of Lost Books
16,library,14,University Library,"External (For Students, UP Cebu Alumni, General Public)",Request for Reservation of Makerspaces
16,library,15,University Library,Internal (For UP Cebu Faculty and Staff),Checking-out (Borrowing) of Library Books
16,library,16,University Library,Internal (For UP Cebu Faculty and Staff),Checking-in (Returning) of Library Books
16,library,17,University Library,Internal (For UP Cebu Faculty and Staff),Renewing of Book/s Borrowed or Checked-out
16,library,18,University Library,Internal (For UP Cebu Faculty and Staff),"Requests for Filipiniana, reserve books, and Theses"
16,library,19,University Library,Internal (For UP Cebu Faculty and Staff),Document Delivery Service
16,library,20,University Library,Internal (For UP Cebu Faculty and Staff),Request for Information Access and Reference Service
16,library,21,University Library,Internal (For UP Cebu Faculty and Staff),Borrowing of periodicals for in-house use
16,library,22,University Library,Internal (For UP Cebu Faculty and Staff),Payment of Fines
16,library,23,University Library,Internal (For UP Cebu Faculty and Staff),Request for Turnitin Account
16,library,24,University Library,Internal (For UP Cebu Faculty and Staff),Payment of Lost Books
16,library,25,University Library,Internal (For UP Cebu Faculty and Staff),Request for Library Orientation or Instruction
16,library,26,University Library,Internal (For UP Cebu Faculty and Staff),Request for Reservation of Makerspaces
17,ovca,1,Office to the Vice Chancellor for Administration,"External (For Students, UP Cebu Alumni, General Public)","Action on special requests of, or liaison, with contractors for various concerns"
17,ovca,2,Office to the Vice Chancellor for Administration,"External (For Students, UP Cebu Alumni, General Public)",Application for car sticker
17,ovca,3,Office to the Vice Chancellor for Administration,"External (For Students, UP Cebu Alumni, General Public)",Procurement of plane tickets
17,ovca,4,Office to the Vice Chancellor for Administration,"External (For Students, UP Cebu Alumni, General Public)","Response and action to requests for consultations, liaisons, grievances, and complaints on various concerns regarding the use of facilities, systems, and processes"
17,ovca,5,Office to the Vice Chancellor for Administration,"External (For Students, UP Cebu Alumni, General Public)",Review endorsement/approval of requests for use of facilities and equipment
17,ovca,6,Office to the Vice Chancellor for Administration,Internal (For UP Cebu Faculty and Staff),Application for Car Sticker
17,ovca,7,Office to the Vice Chancellor for Administration,Internal (For UP Cebu Faculty and Staff),Approval of Bids and Awards Committee (BAC) recommendation for mode of procurement
17,ovca,8,Office to the Vice Chancellor for Administration,Internal (For UP Cebu Faculty and Staff),Approval of PPMP (Project Procurement and Management Plan)
17,ovca,9,Office to the Vice Chancellor for Administration,Internal (For UP Cebu Faculty and Staff),"Endorsement and/or approvals of Purchase Requests (PRs), Obligation Requests (ObRs), Disbursement Vouchers (DVs) and Purchase Orders (POs) (below PhP1,000,000)"
17,ovca,10,Office to the Vice Chancellor for Administration,Internal (For UP Cebu Faculty and Staff),"Endorsement of application of administrative personnel for fellowships (i.e. FRASDP – Faculty, REPS, Administrative
Staff Development Program)"
17,ovca,11,Office to the Vice Chancellor for Administration,Internal (For UP Cebu Faculty and Staff),Endorsement of Authority to Travel for Administrative Staff
17,ovca,12,Office to the Vice Chancellor for Administration,Internal (For UP Cebu Faculty and Staff),Endorsement of materials to be used for infrastructure development and maintenance
17,ovca,13,Office to the Vice Chancellor for Administration,Internal (For UP Cebu Faculty and Staff),"Endorsement of MOAs / Project Contracts for Infrastructure, with Cooperatives and other Service Providers"
17,ovca,14,Office to the Vice Chancellor for Administration,Internal (For UP Cebu Faculty and Staff),Endorsements of candidates for employment (as Chair of Human Resource Management and Personnel Selection Board - HRMPSB)
17,ovca,15,Office to the Vice Chancellor for Administration,Internal (For UP Cebu Faculty and Staff),Procurement of Plane Tickets
17,ovca,16,Office to the Vice Chancellor for Administration,Internal (For UP Cebu Faculty and Staff),"Response and action to requests for consultations, liaisons, grievances, and complaints on various concerns regarding the use of facilities, systems, and processes"
17,ovca,17,Office to the Vice Chancellor for Administration,Internal (For UP Cebu Faculty and Staff),"Review and approval of requests for use of facilities, equipment and vehicles"
17,ovca,18,Office to the Vice Chancellor for Administration,Internal (For UP Cebu Faculty and Staff),Signing of Cheques
18,accounting,1,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Issuance of second copy of BIR 2306 and 2307
18,accounting,2,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Filing of annual reports to Bureau of Internal Revenue - Compensation Report 1604-C
18,accounting,3,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Reports - Status of funds and financial report on special projects
18,accounting,4,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)","Reports - Financial reports (monthly, quarterly, year end)"
18,accounting,5,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Reports - Bank reconciliation
18,accounting,6,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Billing of scholars
18,accounting,7,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Student loan application
18,accounting,8,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Requests for certification
18,accounting,9,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Respond to inquiries and consultation
18,accounting,10,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Refund of school fees - Tuition
18,accounting,11,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Remittance of premiums and loans
18,accounting,12,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Replacement of stale checks and cancelled checks
18,accounting,13,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Refund of school fees - Withdrawal of subject
18,accounting,14,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Refunds of students deposit
18,accounting,15,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Processing of List of Due & Demandable Accounts Payable (LDDAP)
18,accounting,16,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Issuance of BIR 2306 and BIR 2307 for lecturers and contractual employees
18,accounting,17,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Remittances of withholding tax
18,accounting,18,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Payment to NGW’s (non-government workers) and students
18,accounting,19,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Payment to suppliers
18,accounting,20,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Payment of utilities
18,accounting,21,Accounting Office,"External (For Students, UP Cebu Alumni, General Public)",Payment to contractors
18,accounting,22,Accounting Office,Internal (For UP Cebu Faculty and Staff),Assessment for rental of facilities
18,accounting,23,Accounting Office,Internal (For UP Cebu Faculty and Staff),Issuance of certifications
18,accounting,24,Accounting Office,Internal (For UP Cebu Faculty and Staff),Issuance of BIR 2316 (Certificate of Withholding Tax from Compensation)
18,accounting,25,Accounting Office,Internal (For UP Cebu Faculty and Staff),Issuance of second copy of BIR Form 2316
18,accounting,26,Accounting Office,Internal (For UP Cebu Faculty and Staff),Replacement of stale checks and cancelled checks
18,accounting,27,Accounting Office,Internal (For UP Cebu Faculty and Staff),Cash advance
18,accounting,28,Accounting Office,Internal (For UP Cebu Faculty and Staff),Reimbursement of travel expenses
18,accounting,29,Accounting Office,Internal (For UP Cebu Faculty and Staff),"Reimbursement for the payment of hotel accommodation, meals, and other miscellaneous expenses"
18,accounting,30,Accounting Office,Internal (For UP Cebu Faculty and Staff),Payment of salaries
18,accounting,31,Accounting Office,Internal (For UP Cebu Faculty and Staff),Liquidation of cash advances
18,accounting,32,Accounting Office,Internal (For UP Cebu Faculty and Staff),Respond to inquiries and consultation
18,accounting,33,Accounting Office,Internal (For UP Cebu Faculty and Staff),Payment of honorarium and other benefits
19,cmo,1,Campus Maintenance Office,"External (For Students, UP Cebu Alumni, General Public)",Reservation of facilities and grounds
19,cmo,2,Campus Maintenance Office,"External (For Students, UP Cebu Alumni, General Public)",Technical support
19,cmo,3,Campus Maintenance Office,"External (For Students, UP Cebu Alumni, General Public)",Concessionaire’s request for booking of facilities and utilities
19,cmo,4,Campus Maintenance Office,"External (For Students, UP Cebu Alumni, General Public)",Computation for power and water supply
19,cmo,5,Campus Maintenance Office,"External (For Students, UP Cebu Alumni, General Public)",Job order requests
19,cmo,6,Campus Maintenance Office,Internal (For UP Cebu Faculty and Staff),"Reservation of facilities, equipment and vehicles"
19,cmo,7,Campus Maintenance Office,Internal (For UP Cebu Faculty and Staff),Job order request
19,cmo,8,Campus Maintenance Office,Internal (For UP Cebu Faculty and Staff),Technical support
19,cmo,9,Campus Maintenance Office,Internal (For UP Cebu Faculty and Staff),Computation for power and water supply
